demand_metric,month_metric,correlation,abs_correlation
avg_qty_per_order,month_April,-0.4493511475562291,0.4493511475562291
orders,month_April,0.36830894535795766,0.36830894535795766
avg_net_sales_per_order,month_February,0.32248301659613277,0.32248301659613277
avg_qty_per_order,month_January,0.295612472450156,0.295612472450156
avg_net_sales_per_order,month_April,-0.26406760383939465,0.26406760383939465
avg_qty_per_order,month_February,0.2504586568442259,0.2504586568442259
net_sales,month_April,0.23503735499501588,0.23503735499501588
orders,month_February,-0.2211744131483871,0.2211744131483871
qty_beer,month_February,0.17769642348058426,0.17769642348058426
orders,month_January,-0.16475859230171574,0.16475859230171574
qty_liquor,month_March,-0.16183342538272613,0.16183342538272613
qty_na_beverage,month_January,0.15394689486753585,0.15394689486753585
qty_food,month_January,0.15185680042887004,0.15185680042887004
qty,month_January,0.14555331390538961,0.14555331390538961
qty,month_March,-0.13888587633207763,0.13888587633207763
qty_na_beverage,month_April,-0.13104184067165778,0.13104184067165778
qty_food,month_March,-0.1263332119901402,0.1263332119901402
avg_net_sales_per_order,month_March,-0.09750150682350639,0.09750150682350639
net_sales,month_January,-0.09651059212771465,0.09651059212771465
net_sales,month_March,-0.08965033346077232,0.08965033346077232
qty_liquor,month_January,0.08963743551325541,0.08963743551325541
avg_qty_per_order,month_March,-0.08694977932590257,0.08694977932590257
qty_liquor,month_April,0.07343955283245354,0.07343955283245354
qty_beer,month_April,-0.06695975043199294,0.06695975043199294
qty_beer,month_March,-0.061599378504221106,0.061599378504221106
qty_na_beverage,month_March,-0.05923649523970524,0.05923649523970524
avg_net_sales_per_order,month_January,0.051510725045823796,0.051510725045823796
qty_wine_sake,month_April,0.050591752787436245,0.050591752787436245
net_sales,month_February,-0.04966607439843443,0.04966607439843443
qty_wine_sake,month_January,-0.04295254225258165,0.04295254225258165
qty_beer,month_January,-0.042206459232195875,0.042206459232195875
qty_na_beverage,month_February,0.038319478961511826,0.038319478961511826
qty_wine_sake,month_March,-0.03634045284959651,0.03634045284959651
qty_food,month_February,-0.030552788256969082,0.030552788256969082
qty_wine_sake,month_February,0.03015538569651448,0.03015538569651448
qty,month_February,-0.014791224836671679,0.014791224836671679
orders,month_March,0.00971636648315452,0.00971636648315452
qty,month_April,0.009093260287972407,0.009093260287972407
qty_food,month_April,0.005307793466834734,0.005307793466834734
qty_liquor,month_February,0.0005122454715502496,0.0005122454715502496
