target,feature,standardized_coefficient,abs_standardized_coefficient,feature_type
net_sales,is_saturday,498.69029655163285,498.69029655163285,main_effect
net_sales,is_april,493.88744598661634,493.88744598661634,main_effect
net_sales,is_april_x_warm_day,-480.61730349449806,480.61730349449806,interaction
net_sales,is_friday,439.9178151929716,439.9178151929716,main_effect
net_sales,windy_day,-338.76015591020933,338.76015591020933,main_effect
net_sales,is_april_x_is_precip_day,288.165280534357,288.165280534357,interaction
net_sales,is_friday_x_windy_day,227.08731868021286,227.08731868021286,interaction
net_sales,daily_maximum_dry_bulb_temperature_f,219.47276608373429,219.47276608373429,main_effect
net_sales,is_saturday_x_windy_day,218.40912417102928,218.40912417102928,interaction
net_sales,is_precip_day,-191.9404967441073,191.9404967441073,main_effect
net_sales,daily_precipitation_in,-188.77191741942235,188.77191741942235,main_effect
net_sales,is_sunday_x_is_precip_day,140.55207875391565,140.55207875391565,interaction
net_sales,daily_average_wind_speed_mph,109.20882202527243,109.20882202527243,main_effect
net_sales,is_friday_x_warm_day,86.53082731485982,86.53082731485982,interaction
net_sales,is_saturday_x_is_precip_day,84.7196675541152,84.7196675541152,interaction
net_sales,is_sunday,76.5940733170109,76.5940733170109,main_effect
net_sales,is_sunday_x_warm_day,-63.644827492771924,63.644827492771924,interaction
qty,is_friday,52.608784880241316,52.608784880241316,main_effect
net_sales,daily_average_relative_humidity,51.89050206970842,51.89050206970842,main_effect
qty,is_saturday,47.12678123607088,47.12678123607088,main_effect
qty,is_april_x_warm_day,-46.73036074527727,46.73036074527727,interaction
net_sales,warm_day,36.25918584013518,36.25918584013518,main_effect
qty,is_april,34.337319292475314,34.337319292475314,main_effect
net_sales,is_saturday_x_warm_day,22.91770852285466,22.91770852285466,interaction
qty,is_april_x_is_precip_day,17.786305176801946,17.786305176801946,interaction
qty,is_sunday,17.629731950071445,17.629731950071445,main_effect
qty,is_saturday_x_windy_day,16.50572339219832,16.50572339219832,interaction
qty,is_friday_x_windy_day,13.38730674126046,13.38730674126046,interaction
net_sales,is_friday_x_is_precip_day,-11.933516777969754,11.933516777969754,interaction
qty,is_sunday_x_warm_day,-11.672000196723925,11.672000196723925,interaction
qty,is_precip_day,-10.651010617569405,10.651010617569405,main_effect
qty,warm_day,10.016698494730834,10.016698494730834,main_effect
qty,daily_precipitation_in,-8.734666680214344,8.734666680214344,main_effect
qty,is_saturday_x_warm_day,-7.641608928953595,7.641608928953595,interaction
qty,windy_day,-7.109004383971905,7.109004383971905,main_effect
qty,daily_average_wind_speed_mph,-5.375823394205003,5.375823394205003,main_effect
qty,is_friday_x_is_precip_day,-5.251318582271937,5.251318582271937,interaction
qty,is_sunday_x_is_precip_day,4.977983419779539,4.977983419779539,interaction
qty,is_friday_x_warm_day,-3.6827743780068065,3.6827743780068065,interaction
qty,daily_maximum_dry_bulb_temperature_f,3.581310353943139,3.581310353943139,main_effect
qty,daily_average_relative_humidity,3.461629799054011,3.461629799054011,main_effect
qty,is_saturday_x_is_precip_day,3.2213108651878315,3.2213108651878315,interaction
orders,is_saturday,3.202933321784535,3.202933321784535,main_effect
orders,is_friday,3.155140090887098,3.155140090887098,main_effect
orders,windy_day,-2.7959076380740058,2.7959076380740058,main_effect
orders,is_april_x_is_precip_day,2.570323753353159,2.570323753353159,interaction
orders,is_april,2.348928382544587,2.348928382544587,main_effect
orders,warm_day,1.8849041497748118,1.8849041497748118,main_effect
orders,is_friday_x_windy_day,1.498629013790402,1.498629013790402,interaction
orders,is_april_x_warm_day,-1.4692612751272223,1.4692612751272223,interaction
orders,daily_precipitation_in,-1.4105051148074303,1.4105051148074303,main_effect
orders,is_saturday_x_is_precip_day,-1.1099302223894079,1.1099302223894079,interaction
orders,daily_average_wind_speed_mph,1.1074997967741838,1.1074997967741838,main_effect
avg_qty_per_order,windy_day,1.026596444988734,1.026596444988734,main_effect
orders,is_sunday,0.968578580470045,0.968578580470045,main_effect
orders,is_saturday_x_windy_day,0.9620792888086824,0.9620792888086824,interaction
avg_qty_per_order,daily_average_wind_speed_mph,-0.797624367849008,0.797624367849008,main_effect
orders,daily_maximum_dry_bulb_temperature_f,0.7963560490120841,0.7963560490120841,main_effect
orders,is_friday_x_is_precip_day,-0.686811986103397,0.686811986103397,interaction
avg_qty_per_order,warm_day,-0.6563693317811898,0.6563693317811898,main_effect
avg_qty_per_order,is_april_x_warm_day,-0.6385750176419183,0.6385750176419183,interaction
orders,is_sunday_x_is_precip_day,0.5819549818423064,0.5819549818423064,interaction
avg_qty_per_order,is_april_x_is_precip_day,-0.5563476212280853,0.5563476212280853,interaction
orders,is_precip_day,-0.5360966601505078,0.5360966601505078,main_effect
orders,is_friday_x_warm_day,0.5340781037385985,0.5340781037385985,interaction
avg_qty_per_order,is_saturday_x_is_precip_day,0.5281619022617806,0.5281619022617806,interaction
orders,daily_average_relative_humidity,0.49626704282298173,0.49626704282298173,main_effect
avg_qty_per_order,is_sunday_x_warm_day,-0.4843115013430813,0.4843115013430813,interaction
orders,is_sunday_x_warm_day,0.4573944316908378,0.4573944316908378,interaction
orders,is_saturday_x_warm_day,0.3088044925564332,0.3088044925564332,interaction
avg_qty_per_order,daily_average_relative_humidity,-0.28456406395107753,0.28456406395107753,main_effect
avg_qty_per_order,daily_precipitation_in,0.2332328181579115,0.2332328181579115,main_effect
avg_qty_per_order,is_friday_x_windy_day,-0.23289218727918873,0.23289218727918873,interaction
avg_qty_per_order,is_sunday_x_is_precip_day,-0.20469409508342992,0.20469409508342992,interaction
avg_qty_per_order,is_saturday_x_warm_day,-0.20084645457595388,0.20084645457595388,interaction
avg_qty_per_order,is_friday,0.20071564045277737,0.20071564045277737,main_effect
avg_qty_per_order,is_sunday,0.1886354713219431,0.1886354713219431,main_effect
avg_qty_per_order,is_precip_day,0.15613404722292018,0.15613404722292018,main_effect
avg_qty_per_order,is_saturday,-0.09738318054856344,0.09738318054856344,main_effect
avg_qty_per_order,is_saturday_x_windy_day,0.09321110999480944,0.09321110999480944,interaction
avg_qty_per_order,daily_maximum_dry_bulb_temperature_f,-0.03858858898284368,0.03858858898284368,main_effect
avg_qty_per_order,is_friday_x_warm_day,-0.026184378109217202,0.026184378109217202,interaction
avg_qty_per_order,is_april,0.023270498977987514,0.023270498977987514,main_effect
avg_qty_per_order,is_friday_x_is_precip_day,-0.01179610384570357,0.01179610384570357,interaction
