demand_metric,weather_metric,correlation,abs_correlation
avg_qty_per_order,daily_maximum_dry_bulb_temperature_f,-0.41836277789490656,0.41836277789490656
avg_qty_per_order,daily_average_dry_bulb_temperature_f,-0.4050388670799298,0.4050388670799298
avg_qty_per_order,daily_average_dew_point_temperature_f,-0.3835145588557166,0.3835145588557166
avg_qty_per_order,daily_minimum_dry_bulb_temperature_f,-0.37095771531267563,0.37095771531267563
orders,daily_maximum_dry_bulb_temperature_f,0.32767483376354584,0.32767483376354584
avg_qty_per_order,temperature_range_f,-0.321648944236935,0.321648944236935
orders,daily_average_dry_bulb_temperature_f,0.31471685589841036,0.31471685589841036
orders,daily_average_dew_point_temperature_f,0.2932106821640987,0.2932106821640987
orders,daily_minimum_dry_bulb_temperature_f,0.2847043175888931,0.2847043175888931
avg_net_sales_per_order,daily_maximum_dry_bulb_temperature_f,-0.26619191564874856,0.26619191564874856
avg_net_sales_per_order,daily_average_dry_bulb_temperature_f,-0.2630540359051625,0.2630540359051625
orders,temperature_range_f,0.26299333882696646,0.26299333882696646
avg_net_sales_per_order,daily_minimum_dry_bulb_temperature_f,-0.2475565666454432,0.2475565666454432
avg_net_sales_per_order,daily_average_dew_point_temperature_f,-0.24138748501984944,0.24138748501984944
orders,daily_snow_depth_in,-0.21805694315623775,0.21805694315623775
avg_net_sales_per_order,temperature_range_f,-0.18281509524835965,0.18281509524835965
qty_na_beverage,daily_precipitation_in,-0.17942730048507408,0.17942730048507408
avg_net_sales_per_order,daily_sustained_wind_speed_mph,-0.17127005915959032,0.17127005915959032
net_sales,daily_maximum_dry_bulb_temperature_f,0.1673211996318637,0.1673211996318637
qty_na_beverage,daily_maximum_dry_bulb_temperature_f,-0.16618306432612848,0.16618306432612848
avg_net_sales_per_order,daily_peak_wind_speed_mph,-0.16501623107578328,0.16501623107578328
qty_beer,daily_precipitation_in,-0.16067792615600565,0.16067792615600565
avg_qty_per_order,daily_sustained_wind_speed_mph,-0.15970554461328704,0.15970554461328704
net_sales,daily_average_dry_bulb_temperature_f,0.15873308836236585,0.15873308836236585
qty_na_beverage,temperature_range_f,-0.15518864305442337,0.15518864305442337
net_sales,daily_average_dew_point_temperature_f,0.15473349913528686,0.15473349913528686
qty_na_beverage,daily_average_dry_bulb_temperature_f,-0.15465750745206244,0.15465750745206244
net_sales,daily_snow_depth_in,-0.15343313264747538,0.15343313264747538
qty_beer,daily_average_wind_speed_mph,-0.15148132471710998,0.15148132471710998
net_sales,temperature_range_f,0.1425636146448987,0.1425636146448987
avg_qty_per_order,daily_snow_depth_in,0.14172595733748355,0.14172595733748355
avg_qty_per_order,daily_peak_wind_speed_mph,-0.14158295861437073,0.14158295861437073
net_sales,daily_minimum_dry_bulb_temperature_f,0.14101388655529884,0.14101388655529884
net_sales,daily_precipitation_in,-0.1385895155790331,0.1385895155790331
qty_na_beverage,daily_average_dew_point_temperature_f,-0.13660125553387797,0.13660125553387797
qty,daily_precipitation_in,-0.13659398053379643,0.13659398053379643
avg_net_sales_per_order,daily_precipitation_in,-0.1362363183585285,0.1362363183585285
qty_na_beverage,daily_snow_depth_in,0.13600335719172155,0.13600335719172155
qty_na_beverage,daily_minimum_dry_bulb_temperature_f,-0.13287963195163163,0.13287963195163163
avg_qty_per_order,daily_snowfall_in,0.13068873316157809,0.13068873316157809
qty_food,daily_snow_depth_in,-0.13020360582631754,0.13020360582631754
orders,daily_sustained_wind_speed_mph,0.12750388834936568,0.12750388834936568
qty_food,daily_precipitation_in,-0.12638975179565673,0.12638975179565673
qty_na_beverage,daily_peak_wind_speed_mph,-0.12420477160637212,0.12420477160637212
avg_net_sales_per_order,daily_snow_depth_in,0.12028800644106483,0.12028800644106483
avg_net_sales_per_order,daily_average_wind_speed_mph,-0.11798325195235977,0.11798325195235977
qty,daily_snow_depth_in,-0.11131898937952427,0.11131898937952427
qty_wine_sake,daily_precipitation_in,-0.110682976562874,0.110682976562874
qty_na_beverage,daily_sustained_wind_speed_mph,-0.10890271338715442,0.10890271338715442
qty_beer,daily_snow_depth_in,0.10269196737198279,0.10269196737198279
orders,daily_peak_wind_speed_mph,0.10226367440085808,0.10226367440085808
qty_na_beverage,daily_snowfall_in,0.09927407457106839,0.09927407457106839
avg_qty_per_order,daily_average_relative_humidity,-0.09561552815115328,0.09561552815115328
avg_qty_per_order,daily_precipitation_in,-0.08963878531999862,0.08963878531999862
qty_beer,temperature_range_f,0.08778058305218334,0.08778058305218334
orders,daily_average_relative_humidity,0.08548420471581607,0.08548420471581607
avg_net_sales_per_order,daily_average_relative_humidity,-0.0823869633086396,0.0823869633086396
qty_beer,daily_sustained_wind_speed_mph,-0.07837663736840325,0.07837663736840325
qty_wine_sake,daily_snow_depth_in,-0.0770933133182051,0.0770933133182051
qty_food,daily_snowfall_in,0.07589465916766454,0.07589465916766454
qty,daily_snowfall_in,0.06961968468388356,0.06961968468388356
avg_qty_per_order,daily_average_wind_speed_mph,-0.06762063907538922,0.06762063907538922
qty_wine_sake,daily_snowfall_in,-0.06733067812915418,0.06733067812915418
net_sales,daily_average_relative_humidity,0.06705994601139625,0.06705994601139625
qty_liquor,daily_average_relative_humidity,0.060071683298587336,0.060071683298587336
qty,daily_average_relative_humidity,0.06000335254339311,0.06000335254339311
orders,daily_snowfall_in,-0.05867564933546995,0.05867564933546995
qty_food,daily_average_relative_humidity,0.05789151409127633,0.05789151409127633
net_sales,daily_sustained_wind_speed_mph,0.05698044911727233,0.05698044911727233
qty_liquor,daily_minimum_dry_bulb_temperature_f,-0.05674123548726014,0.05674123548726014
qty_beer,daily_snowfall_in,-0.05590032467019123,0.05590032467019123
qty_wine_sake,daily_minimum_dry_bulb_temperature_f,0.05240666843864557,0.05240666843864557
qty_liquor,daily_average_dry_bulb_temperature_f,-0.05087526988528911,0.05087526988528911
qty_liquor,daily_snowfall_in,0.05067542467316396,0.05067542467316396
qty_wine_sake,daily_average_dew_point_temperature_f,0.05000779247746648,0.05000779247746648
qty_beer,daily_peak_wind_speed_mph,-0.04817995528773466,0.04817995528773466
net_sales,daily_snowfall_in,-0.04556460082588335,0.04556460082588335
qty_liquor,daily_maximum_dry_bulb_temperature_f,-0.044850297041350046,0.044850297041350046
qty_wine_sake,daily_average_dry_bulb_temperature_f,0.04358660034844886,0.04358660034844886
orders,daily_average_wind_speed_mph,0.04183617333778987,0.04183617333778987
qty_wine_sake,daily_average_wind_speed_mph,-0.04152166103995527,0.04152166103995527
qty_wine_sake,daily_average_relative_humidity,0.04092543245014403,0.04092543245014403
qty,daily_minimum_dry_bulb_temperature_f,-0.03939983666297522,0.03939983666297522
orders,daily_precipitation_in,-0.03923381418651136,0.03923381418651136
qty_beer,daily_minimum_dry_bulb_temperature_f,-0.038971525455352124,0.038971525455352124
qty,daily_average_dry_bulb_temperature_f,-0.036472498539563795,0.036472498539563795
qty_wine_sake,daily_maximum_dry_bulb_temperature_f,0.03565898895573461,0.03565898895573461
qty_food,daily_sustained_wind_speed_mph,0.03366566064402686,0.03366566064402686
qty,daily_maximum_dry_bulb_temperature_f,-0.033246010289719005,0.033246010289719005
net_sales,daily_peak_wind_speed_mph,0.032509218892269966,0.032509218892269966
qty_food,daily_minimum_dry_bulb_temperature_f,-0.0323752193658943,0.0323752193658943
qty,daily_average_dew_point_temperature_f,-0.029414007356420253,0.029414007356420253
qty_na_beverage,daily_average_wind_speed_mph,-0.029292715473480675,0.029292715473480675
qty_food,daily_average_dry_bulb_temperature_f,-0.02920362984195125,0.02920362984195125
qty_food,daily_average_dew_point_temperature_f,-0.027295438442428162,0.027295438442428162
qty_wine_sake,daily_peak_wind_speed_mph,-0.02680990959407593,0.02680990959407593
qty_liquor,daily_precipitation_in,-0.026714508672658,0.026714508672658
qty_food,daily_maximum_dry_bulb_temperature_f,-0.02606619098515522,0.02606619098515522
qty_food,daily_average_wind_speed_mph,0.025179268871009415,0.025179268871009415
qty_liquor,daily_snow_depth_in,-0.02507335348749078,0.02507335348749078
qty,daily_sustained_wind_speed_mph,0.021250624215514245,0.021250624215514245
qty_food,daily_peak_wind_speed_mph,0.02118558296402508,0.02118558296402508
qty_liquor,daily_average_dew_point_temperature_f,-0.021000287693800784,0.021000287693800784
qty_na_beverage,daily_average_relative_humidity,-0.018246975949533884,0.018246975949533884
qty_wine_sake,daily_sustained_wind_speed_mph,-0.018127719484185546,0.018127719484185546
qty_beer,daily_average_dry_bulb_temperature_f,-0.013930876616937014,0.013930876616937014
qty_liquor,daily_sustained_wind_speed_mph,0.013683274211773726,0.013683274211773726
qty_liquor,daily_average_wind_speed_mph,-0.012634050080255947,0.012634050080255947
qty_wine_sake,temperature_range_f,-0.011972320365185382,0.011972320365185382
qty_beer,daily_average_dew_point_temperature_f,-0.009856640538848226,0.009856640538848226
qty,daily_peak_wind_speed_mph,0.009711335067209254,0.009711335067209254
net_sales,daily_average_wind_speed_mph,0.009454258545780123,0.009454258545780123
qty,daily_average_wind_speed_mph,0.009231423755852198,0.009231423755852198
qty_liquor,daily_peak_wind_speed_mph,0.008710309165144732,0.008710309165144732
qty_beer,daily_average_relative_humidity,-0.007138969435811119,0.007138969435811119
avg_net_sales_per_order,daily_snowfall_in,0.006787815374335559,0.006787815374335559
qty,temperature_range_f,-0.006762982139450252,0.006762982139450252
qty_beer,daily_maximum_dry_bulb_temperature_f,0.005692584587699118,0.005692584587699118
qty_food,temperature_range_f,-0.002490327832075015,0.002490327832075015
qty_liquor,temperature_range_f,-0.002323085116248383,0.002323085116248383
